state,county,FIPS,LEVEL,ALAND_SQMI,AWATER_SQMI
AR,Benton County,05007,0.8584,847.482,36.424
AR,Boone County,05009,0.8632,590.331,11.669
AR,Bradley County,05011,0.0,649.236,3.681
AR,Calhoun County,05013,0.0,628.564,3.833
AR,Carroll County,05015,1.0,629.98,8.642999999999999
AR,Chicot County,05017,0.0105,644.31,46.483000000000004
AR,Clark County,05019,0.0,866.074,16.755
AR,Clay County,05021,0.0,639.448,1.9880000000000002
AR,Cleburne County,05023,0.0,553.691,38.23
AR,Cleveland County,05025,0.0,597.784,0.965
AR,Columbia County,05027,0.0,766.067,0.685
AR,Conway County,05029,0.0,552.257,14.411
AR,Craighead County,05031,0.0,707.28,5.44
AR,Crawford County,05033,0.0,591.177,12.015999999999998
AR,Crittenden County,05035,0.0,610.33,26.039
AR,Cross County,05037,0.0,616.381,5.926
AR,Dallas County,05039,0.0,667.3860000000001,0.72
AR,Desha County,05041,0.0151,768.145,51.375
AR,Drew County,05043,0.0,828.3539999999999,7.305
AR,Faulkner County,05045,0.0,647.9119999999999,16.160999999999998
AR,Franklin County,05047,0.0,608.8580000000001,10.784
AR,Fulton County,05049,0.0,618.193,2.134
AR,Garland County,05051,0.0,677.814,56.812
AR,Grant County,05053,0.0,631.811,1.119
AR,Greene County,05055,0.0,577.688,1.849
AR,Hempstead County,05057,0.0,727.52,13.657
AR,Hot Spring County,05059,0.0,615.207,6.9639999999999995
AR,Howard County,05061,0.0,588.567,6.747000000000001
AR,Independence County,05063,0.0,763.954,7.565
AR,Izard County,05065,0.0,580.576,3.4410000000000003
AR,Jackson County,05067,0.0,633.937,7.563
AR,Jefferson County,05069,0.0,870.7460000000001,43.03
AR,Johnson County,05071,0.0,659.89,22.854
AR,Lafayette County,05073,0.0,528.295,16.784000000000002
AR,Lawrence County,05075,0.0,587.617,4.728
AR,Lee County,05077,0.0,602.621,16.881
AR,Lincoln County,05079,0.0,561.562,10.624
AR,Little River County,05081,0.0,532.256,32.509
AR,Logan County,05083,0.0,708.12,23.433000000000003
AR,Lonoke County,05085,0.0,770.93,31.918000000000003
AR,Madison County,05087,0.2025,834.253,2.827
AR,Marion County,05089,0.0672,597.009,43.301
AR,Miller County,05091,0.0,625.5880000000001,12.062000000000001
AR,Mississippi County,05093,0.0,900.576,19.238
AR,Monroe County,05095,0.0,607.131,14.175999999999998
AR,Montgomery County,05097,0.0,779.8810000000001,20.408
AR,Nevada County,05099,0.0,617.837,2.802
AR,Newton County,05101,0.0527,820.9060000000001,2.29
AR,Ouachita County,05103,0.0,732.783,6.968999999999999
AR,Perry County,05105,0.0,551.562,8.969
AR,Phillips County,05107,0.0,695.625,31.718000000000004
AR,Pike County,05109,0.0,600.619,13.511
AR,Poinsett County,05111,0.0,758.3610000000001,5.221
AR,Polk County,05113,0.0001,857.684,4.7780000000000005
AR,Pope County,05115,0.0,812.555,18.22
AR,Prairie County,05117,0.0,647.915,27.697
AR,Pulaski County,05119,0.0,758.573,49.083
AR,Randolph County,05121,0.0,652.238,3.804
AR,Saint Francis County,05123,0.0,634.795,7.7410000000000005
AR,Saline County,05125,0.0,723.567,6.922000000000001
AR,Scott County,05127,0.1304,892.3,5.754
AR,Searcy County,05129,0.0,666.095,2.416
AR,Sebastian County,05131,0.1295,531.895,15.325999999999999
AR,Sevier County,05133,0.0,565.127,16.15
AR,Sharp County,05135,0.0,604.439,1.9969999999999999
AR,Stone County,05137,0.0,606.404,3.028
AR,Union County,05139,0.0,1039.215,15.985
AR,Van Buren County,05141,0.0,709.7589999999999,14.525
AR,Washington County,05143,0.34979999999999994,942.0160000000001,10.394
AR,White County,05145,0.0,1035.098,7.047999999999999
AR,Woodruff County,05147,0.0,586.768,7.222
AR,Yell County,05149,0.0,930.217,18.641
CA,Alameda County,06001,3.2725,739.0930000000001,82.23200000000001
CA,Alpine County,06003,3.1392,738.34,4.848
CA,Amador County,06005,2.9263,594.572,11.379000000000001
CA,Butte County,06007,2.0,1636.464,40.667
CA,Calaveras County,06009,3.7118,1020.013,16.914
CA,Colusa County,06011,2.4134,1150.728,5.63
CA,Contra Costa County,06013,3.2003999999999997,722.757,81.012
CA,Del Norte County,06015,1.0,1006.221,223.46099999999998
CA,El Dorado County,06017,2.4038999999999997,1707.865,78.483
CA,Fresno County,06019,4.6094,5958.783,52.268
CA,Glenn County,06021,2.0,1313.9460000000001,13.030999999999999
CA,Humboldt County,06023,1.0,3567.967,484.287
CA,Imperial County,06025,2.9037,4176.58,305.11
CA,Inyo County,06027,3.3285,10180.938,45.98
CA,Kern County,06029,4.7306,8131.9259999999995,30.724
CA,Kings County,06031,4.94,1389.421,2.1109999999999998
CA,Lake County,06033,1.9605000000000001,1256.488,72.94
CA,Lassen County,06035,2.3123,4541.181,178.935
CA,Los Angeles County,06037,4.8559,4058.185,692.949
CA,Madera County,06039,4.3871,2137.113,16.2
CA,Marin County,06041,1.01,520.489,307.702
CA,Mariposa County,06043,4.4462,1448.818,14.003
CA,Mendocino County,06045,1.3914,3506.357,371.798
CA,Merced County,06047,4.0,1935.2120000000002,43.44
CA,Modoc County,06049,1.9975999999999998,3915.445,287.81
CA,Mono County,06051,4.0255,3048.987,82.89399999999999
CA,Monterey County,06053,4.061,3280.583,490.63800000000003
CA,Napa County,06055,1.4021000000000001,748.33,40.251
CA,Nevada County,06057,2.1708,957.7669999999999,16.028
